@iot.selfLink,name,description,lat,lng,datastreams
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(1),柏原自治会館,風向風速/温度/湿度/雨,35.129368,135.079926,"柏原自治会館_平均風速(m/s),柏原自治会館_平均風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),柏原自治会館_最大瞬間風速(m/s),柏原自治会館_最大風速時風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),柏原自治会館_気温(°C),柏原自治会館_湿度(%),柏原自治会館_10分間移動積算雨量(mm),柏原自治会館_1時間移動積算雨量(mm),柏原自治会館_日雨量(mm),柏原自治会館_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(2),丹波市役所,風向風速/温度/湿度/雨/現地気圧/海面気圧/日射/日照,35.177114,135.035848,"丹波市役所_平均風速(m/s),丹波市役所_平均風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),丹波市役所_最大瞬間風速(m/s),丹波市役所_最大風速時風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),丹波市役所_気温(°C),丹波市役所_湿度(%),丹波市役所_10分間移動積算雨量(mm),丹波市役所_1時間移動積算雨量(mm),丹波市役所_日雨量(mm),丹波市役所_累計雨量(mm),丹波市役所_日射(日積算)(MJ/m2),丹波市役所_日照(日積算)(min(分)),丹波市役所_現地気圧(hPa),丹波市役所_海面気圧(hPa)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(3),南小学校,雨,35.135988,135.01758,"南小学校_10分間移動積算雨量(mm),南小学校_1時間移動積算雨量(mm),南小学校_日雨量(mm),南小学校_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(4),北小学校,雨,35.1995,135.044817,"北小学校_10分間移動積算雨量(mm),北小学校_1時間移動積算雨量(mm),北小学校_日雨量(mm),北小学校_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(5),青垣支所,風向風速/温度/湿度/雨,35.248585,135.002163,"青垣支所_平均風速(m/s),青垣支所_平均風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),青垣支所_最大瞬間風速(m/s),青垣支所_最大風速時風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),青垣支所_気温(°C),青垣支所_湿度(%),青垣支所_10分間移動積算雨量(mm),青垣支所_1時間移動積算雨量(mm),青垣支所_日雨量(mm),青垣支所_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(6),神楽の郷交流センター,雨,35.248664,134.963502,"神楽の郷交流センター_10分間移動積算雨量(mm),神楽の郷交流センター_1時間移動積算雨量(mm),神楽の郷交流センター_日雨量(mm),神楽の郷交流センター_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(7),やまびこセンター萬歳山,雨,35.271122,134.987878,"やまびこセンター萬歳山_10分間移動積算雨量(mm),やまびこセンター萬歳山_1時間移動積算雨量(mm),やまびこセンター萬歳山_日雨量(mm),やまびこセンター萬歳山_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(8),はるべの郷春日部荘,風向風速/温度/湿度/雨,35.185474,135.129857,"はるべの郷春日部荘_平均風速(m/s),はるべの郷春日部荘_平均風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),はるべの郷春日部荘_最大瞬間風速(m/s),はるべの郷春日部荘_最大風速時風向(00:静穏,01:北北東02:北東,03:東北東,04:東,05:東南東,06:南東,07:南南東,08:南,09:南南西,10:南西,11:西南西,12:西,13:西北西,14:北西,15:北北西,16:北),はるべの郷春日部荘_気温(°C),はるべの郷春日部荘_湿度(%),はるべの郷春日部荘_10分間移動積算雨量(mm),はるべの郷春日部荘_1時間移動積算雨量(mm),はるべの郷春日部荘_日雨量(mm),はるべの郷春日部荘_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(9),三尾荘,雨,35.141406,135.164727,"三尾荘_10分間移動積算雨量(mm),三尾荘_1時間移動積算雨量(mm),三尾荘_日雨量(mm),三尾荘_累計雨量(mm)"
https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(10),ふなき荘,雨,35.176093,135.07668,"ふなき荘_10分間移動積算雨量(mm),ふなき荘_1時間移動積算雨量(mm),ふなき荘_日雨量(mm),ふなき荘_累計雨量(mm)"
